"idplayer","name","age","position","college","draftteam","draftposition","draftyear","born","experience"
134,"Gilbert Arenas",40,"Point Guard","Arizona","Golden State Warriors",2,2001,"1982-01-06",11
135,"Trevor Ariza",37,"Small Forward and Shooting Guard","UCLA","New York Knicks",14,2004,"1985-06-30",0
136,"Paul Arizin",78,"Small Forward","Villanova","Philadelphia Warriors",3,1950,"1928-04-09",10
137,"Joe Arlauckas",57,"Small Forward","Niagara University","Sacramento Kings",5,1987,"1965-07-20",1
138,"B.J. Armstrong",55,"Point Guard","Iowa","Chicago Bulls",18,1989,"1967-09-09",11
139,"Bob Armstrong",82,"Center/Forward","Michigan State","Rochester Royals",2,1955,"1933-06-17",1
140,"Brandon Armstrong",42,"Shooting Guard","Pepperdine","Houston Rockets",23,2001,"1980-06-16",3
141,"Curly Armstrong",64,"Guard/Forward","Indiana","none",NULL,0,"1918-11-01",3
142,"Darrell Armstrong",54,"Point Guard","Fayetteville State University","none",NULL,0,"1968-06-22",14
143,"Hilton Armstrong",38,"Center and Power Forward","UConn","New Orleans/Oklahoma City Hornets",12,2006,"1984-11-11",6
144,"Tate Armstrong",67,"Shooting Guard","Duke","Chicago Bulls",13,1977,"1955-10-05",2
145,"Jesse Arnelle",86,"Power Forward","Penn State","Fort Wayne Pistons",7,1955,"1933-12-30",1
146,"Jay Arnette",83,"Shooting Guard and Point Guard","Texas","Cincinnati Royals",1,1960,"1938-12-19",3
147,"Bob Arnzen",75,"Small Forward","Notre Dame","Detroit Pistons",4,1969,"1947-11-03",4
148,"Carlos Arroyo",43,"Point Guard and Shooting Guard","Florida International University","none",NULL,0,"1979-07-30",9
149,"Darrell Arthur",34,"Power Forward and Small Forward","Kansas","New Orleans Hornets",27,2008,"1988-03-25",9
150,"John Arthurs",75,"Guard","Tulane","Milwaukee Bucks",2,1969,"1947-08-15",1
151,"Jamel Artis",29,"Shooting Guard","Pitt","none",NULL,0,"1993-01-12",1
152,"Ömer Aşık",36,"Center","none","Portland Trail Blazers",6,2008,"1986-07-04",8
153,"Vincent Askew",56,"Shooting Guard","Memphis","Philadelphia 76ers",16,1987,"1966-02-28",9
154,"Keith Askins",54,"Small Forward","Alabama","none",NULL,0,"1967-12-15",9
155,"Don Asmonga",85,"Guard","Alliance College","none",NULL,0,"1928-02-15",1
156,"Dick Atha",88,"Shooting Guard","Indiana State University","New York Knicks",3,1953,"1931-09-21",2
157,"Chucky Atkins",48,"Point Guard and Shooting Guard","South Florida","none",NULL,0,"1974-08-14",11
158,"Al Attles",86,"Point Guard","North Carolina A&T","Philadelphia Warriors",7,1960,"1936-11-07",11
159,"Chet Aubuchon",88,"Guard","Michigan State","none",NULL,0,"1916-05-18",1
160,"Stacey Augmon",54,"Shooting Guard and Small Forward","UNLV","Atlanta Hawks",9,1991,"1968-08-01",15
161,"D.J. Augustin",35,"Point Guard","Texas","Charlotte Bobcats",9,2008,"1987-11-10",0
162,"James Augustine",38,"Power Forward","Illinois","Orlando Magic",11,2006,"1984-02-27",2
163,"Isaac Austin",53,"Center","Arizona State","Utah Jazz",21,1991,"1969-08-18",9
164,"Johnny Austin",78,"Shooting Guard","Boston College","Boston Celtics",8,1966,"1944-08-31",2
165,"Ken Austin",61,"Small Forward","Rice University","Detroit Pistons",8,1983,"1961-07-15",1
166,"Deni Avdija",21,"Small Forward","none","Washington Wizards",9,2020,"2001-01-03",0
167,"Anthony Avent",53,"Power Forward","Seton Hall","Atlanta Hawks",15,1991,"1969-10-18",6
168,"Bird Averitt",68,"Shooting Guard","Pepperdine","Portland Trail Blazers",3,1973,"1952-07-22",5
169,"William Avery",43,"Point Guard","Duke","Minnesota Timberwolves",14,1999,"1979-08-08",3
170,"Dennis Awtrey",74,"Center","Santa Clara","Philadelphia 76ers",12,1970,"1948-02-22",12
171,"Joel Ayayi",22,"Shooting Guard","Gonzaga","none",NULL,0,"2000-03-05",0
172,"Gustavo Ayón",37,"Center and Power Forward","none","none",NULL,0,"1985-04-01",3
173,"Jeff Ayres",35,"Power Forward and Center","Arizona State","Sacramento Kings",1,2009,"1987-04-29",6
174,"Deandre Ayton",24,"Center","Arizona","Phoenix Suns",1,2018,"1998-07-23",0
175,"Kelenna Azubuike",38,"Shooting Guard and Small Forward","Kentucky","none",NULL,0,"1983-12-16",5
176,"Udoka Azubuike",23,"Center","Kansas","Utah Jazz",27,2020,"1999-09-17",0
177,"Jimmy Butler",0,"noData","noData","noData",0,0,NULL,0
178,"Duncan Robinson",0,"noData","noData","noData",0,0,NULL,0
179,"Kendrick Nunn",0,"noData","noData","noData",0,0,NULL,0
180,"Goran Dragić",0,"noData","noData","noData",0,0,NULL,0
181,"Tyler Herro",0,"noData","noData","noData",0,0,NULL,0
182,"Andre Iguodala",0,"noData","noData","noData",0,0,NULL,0
183,"Dewayne Dedmon",0,"noData","noData","noData",0,0,NULL,0
184,"Gabe Vincent",0,"noData","noData","noData",0,0,NULL,0
185,"Nemanja Bjelica",0,"noData","noData","noData",0,0,NULL,0
186,"KZ Okpala",0,"noData","noData","noData",0,0,NULL,0
187,"Max Strus",0,"noData","noData","noData",0,0,NULL,0
188,"Udonis Haslem",0,"noData","noData","noData",0,0,NULL,0
189,"Khris Middleton",0,"noData","noData","noData",0,0,NULL,0
190,"Jrue Holiday",0,"noData","noData","noData",0,0,NULL,0
191,"Donte DiVincenzo",0,"noData","noData","noData",0,0,NULL,0
192,"Brook Lopez",0,"noData","noData","noData",0,0,NULL,0
193,"P.J. Tucker",0,"noData","noData","noData",0,0,NULL,0
194,"Bobby Portis",0,"noData","noData","noData",0,0,NULL,0
195,"Bryn Forbes",0,"noData","noData","noData",0,0,NULL,0
196,"Pat Connaughton",0,"noData","noData","noData",0,0,NULL,0
197,"Mamadi Diakite",0,"noData","noData","noData",0,0,NULL,0
198,"Sam Merrill",0,"noData","noData","noData",0,0,NULL,0
199,"Jordan Nwora",0,"noData","noData","noData",0,0,NULL,0
200,"Elijah Bryant",0,"noData","noData","noData",0,0,NULL,0
201,"Axel Toupane",0,"noData","noData","noData",0,0,NULL,0
202,"Jeff Teague",0,"noData","noData","noData",0,0,NULL,0
203,"Luka Dončić",0,"noData","noData","noData",0,0,NULL,0
204,"Dorian Finney-Smith",0,"noData","noData","noData",0,0,NULL,0
205,"Maxi Kleber",0,"noData","noData","noData",0,0,NULL,0
206,"Kristaps Porziņģis",0,"noData","noData","noData",0,0,NULL,0
207,"Tim Hardaway Jr.",0,"noData","noData","noData",0,0,NULL,0
208,"Jalen Brunson",0,"noData","noData","noData",0,0,NULL,0
209,"Josh Richardson",0,"noData","noData","noData",0,0,NULL,0
210,"Nicolò Melli",0,"noData","noData","noData",0,0,NULL,0
211,"Dwight Powell",0,"noData","noData","noData",0,0,NULL,0
212,"Willie Cauley-Stein",0,"noData","noData","noData",0,0,NULL,0
