"years","league","champion","mvp","roty","pointsleader","reboundsleader","assistsleader","winsharesleader"
"1977-78","NBA",0,"B. Walton","W. Davis","G. Gervin (2232)","T. Robinson (1288)","K. Porter (837)","D. Thompson (12.7)"
"1976-77","NBA",25,"K. Abdul-Jabbar","A. Dantley","P. Maravich (2273)","K. Abdul-Jabbar (1090)","D. Buse (685)","K. Abdul-Jabbar (17.8)"
"1975-76","NBA",2,"K. Abdul-Jabbar","A. Adams","B. McAdoo (2427)","K. Abdul-Jabbar (1383)","S. Watts (661)","K. Abdul-Jabbar (17.0)"
"1975-76","ABA",0,"J. Erving","D. Thompson","J. Erving (2462)","A. Gilmore (1303)","D. Buse (689)","J. Erving (17.7)"
"1974-75","NBA",10,"B. McAdoo","J. Wilkes","B. McAdoo (2831)","B. McAdoo (1155)","K. Porter (650)","B. McAdoo (17.8)"
"1974-75","ABA",0,"J. Erving, G. McGinnis","M. Barnes","G. McGinnis (2353)","A. Gilmore (1361)","C. Williams (576)","J. Erving (17.6)"
"1973-74","NBA",2,"K. Abdul-Jabbar","E. DiGregorio","B. McAdoo (2261)","E. Hayes (1463)","E. DiGregorio (663)","K. Abdul-Jabbar (18.4)"
"1973-74","ABA",0,"J. Erving","S. Nater","J. Erving (2299)","A. Gilmore (1538)","A. Smith (619)","J. Erving (16.5)"
"1972-73","NBA",20,"D. Cowens","B. McAdoo","T. Archibald (2719)","W. Chamberlain (1526)","T. Archibald (910)","K. Abdul-Jabbar (21.9)"
"1972-73","ABA",12,"B. Cunningham","B. Taylor","D. Issel (2292)","A. Gilmore (1476)","C. Williams (582)","A. Gilmore (18.5)"
"1971-72","NBA",14,"K. Abdul-Jabbar","S. Wicks","K. Abdul-Jabbar (2822)","W. Chamberlain (1572)","L. Wilkens (766)","K. Abdul-Jabbar (25.4)"
"1971-72","ABA",12,"A. Gilmore","A. Gilmore","D. Issel (2538)","A. Gilmore (1491)","B. Melchionni (669)","A. Gilmore (19.8)"
"1970-71","NBA",17,"K. Abdul-Jabbar","D. Cowens, G. Petrie","K. Abdul-Jabbar (2596)","W. Chamberlain (1493)","N. Van Lier (832)","K. Abdul-Jabbar (22.3)"
"1970-71","ABA",0,"M. Daniels","D. Issel, C. Scott","D. Issel (2480)","M. Daniels (1475)","B. Melchionni (672)","Z. Beaty (16.0)"
"1969-70","NBA",20,"W. Reed","K. Abdul-Jabbar","K. Abdul-Jabbar (2361)","E. Hayes (1386)","L. Wilkens (683)","J. West (15.2)"
"1969-70","ABA",12,"S. Haywood","S. Haywood","S. Haywood (2519)","S. Haywood (1637)","L. Brown (580)","S. Haywood (17.1)"
"1968-69","NBA",2,"W. Unseld","W. Unseld","E. Hayes (2327)","W. Chamberlain (1712)","O. Robertson (772)","W. Reed (14.7)"
"1968-69","ABA",0,"M. Daniels","W. Jabali","L. Jones (2133)","M. Daniels (1256)","L. Brown (544)","J. Jones (16.1)"
"1967-68","NBA",2,"W. Chamberlain","E. Monroe","D. Bing (2142)","W. Chamberlain (1952)","W. Chamberlain (702)","W. Chamberlain (20.4)"
"1967-68","ABA",0,"C. Hawkins","M. Daniels","D. Moe (1884)","M. Daniels (1213)","L. Brown (506)","C. Hawkins (17.9)"
"1966-67","NBA",23,"W. Chamberlain","D. Bing","R. Barry (2775)","W. Chamberlain (1957)","G. Rodgers (908)","W. Chamberlain (21.9)"
"1965-66","NBA",2,"W. Chamberlain","R. Barry","W. Chamberlain (2649)","W. Chamberlain (1943)","O. Robertson (847)","W. Chamberlain (21.4)"
"1964-65","NBA",2,"B. Russell","W. Reed","W. Chamberlain (2534)","B. Russell (1878)","O. Robertson (861)","O. Robertson (17.0)"
